FECHA,Defunciones
2007-01-01,146
2007-02-01,136
2007-03-01,156
2007-04-01,147
2007-05-01,117
2007-06-01,135
2007-07-01,136
2007-08-01,141
2007-09-01,160
2007-10-01,134
2007-11-01,146
2007-12-01,193
2008-01-01,163
2008-02-01,161
2008-03-01,203
2008-04-01,153
2008-05-01,128
2008-06-01,142
2008-07-01,146
2008-08-01,149
2008-09-01,125
2008-10-01,140
2008-11-01,143
2008-12-01,193
2009-01-01,131
2009-02-01,164
2009-03-01,132
2009-04-01,167
2009-05-01,170
2009-06-01,144
2009-07-01,165
2009-08-01,155
2009-09-01,146
2009-10-01,132
2009-11-01,177
2009-12-01,190
2010-01-01,172
2010-02-01,188
2010-03-01,159
2010-04-01,198
2010-05-01,208
2010-06-01,154
2010-07-01,165
2010-08-01,194
2010-09-01,136
2010-10-01,194
2010-11-01,159
2010-12-01,205
2011-01-01,180
2011-02-01,141
2011-03-01,177
2011-04-01,155
2011-05-01,149
2011-06-01,133
2011-07-01,155
2011-08-01,137
2011-09-01,107
2011-10-01,156
2011-11-01,138
2011-12-01,205
2012-01-01,153
2012-02-01,148
2012-03-01,148
2012-04-01,173
2012-05-01,131
2012-06-01,138
2012-07-01,144
2012-08-01,97
2012-09-01,141
2012-10-01,147
2012-11-01,150
2012-12-01,198
2013-01-01,162
2013-02-01,161
2013-03-01,154
2013-04-01,146
2013-05-01,147
2013-06-01,145
2013-07-01,165
2013-08-01,150
2013-09-01,151
2013-10-01,169
2013-11-01,143
2013-12-01,199
2014-01-01,170
2014-02-01,142
2014-03-01,156
2014-04-01,157
2014-05-01,137
2014-06-01,140
2014-07-01,167
2014-08-01,134
2014-09-01,142
2014-10-01,149
2014-11-01,158
2014-12-01,203
2015-01-01,170
2015-02-01,169
2015-03-01,165
2015-04-01,159
2015-05-01,142
2015-06-01,169
2015-07-01,147
2015-08-01,168
2015-09-01,137
2015-10-01,145
2015-11-01,169
2015-12-01,206
2016-01-01,176
2016-02-01,153
2016-03-01,191
2016-04-01,157
2016-05-01,167
2016-06-01,205
2016-07-01,196
2016-08-01,148
2016-09-01,135
2016-10-01,166
2016-11-01,134
2016-12-01,163
2017-01-01,143
2017-02-01,127
2017-03-01,122
2017-04-01,129
2017-05-01,118
2017-06-01,136
2017-07-01,155
2017-08-01,132
2017-09-01,137
2017-10-01,138
2017-11-01,113
2017-12-01,137
2018-01-01,98
2018-02-01,113
2018-03-01,131
2018-04-01,114
2018-05-01,127
2018-06-01,77
2018-07-01,126
2018-08-01,82
2018-09-01,87
2018-10-01,133
2018-11-01,152
2018-12-01,187
2019-01-01,145
2019-02-01,160
2019-03-01,196
2019-04-01,173
2019-05-01,164
2019-06-01,165
2019-07-01,197
2019-08-01,166
2019-09-01,175
2019-10-01,194
2019-11-01,195
2019-12-01,170
2020-01-01,188
2020-02-01,155
2020-03-01,135
2020-04-01,85
2020-05-01,128
2020-06-01,123
2020-07-01,123
2020-08-01,169
2020-09-01,132
2020-10-01,152
2020-11-01,163
2020-12-01,184
2021-01-01,143
2021-02-01,155
2021-03-01,176
2021-04-01,143
2021-05-01,164
2021-06-01,127
2021-07-01,150
2021-08-01,158
2021-09-01,167
2021-10-01,162
2021-11-01,163
2021-12-01,166
2022-01-01,184
2022-02-01,137
2022-03-01,128
2022-04-01,138
2022-05-01,169
2022-06-01,130
2022-07-01,164
2022-08-01,150
2022-09-01,113
2022-10-01,172
2022-11-01,126
2022-12-01,183
2023-01-01,151
2023-02-01,141
2023-03-01,159
2023-04-01,166
2023-05-01,171
2023-06-01,164
2023-07-01,185
2023-08-01,139
2023-09-01,153
2023-10-01,175
2023-11-01,176
2023-12-01,169
