,provincia,automóviles,autobuses,jeep,carga,motocicletas,volteo,máquinas pesadas,otros,total
0,Azua,7360,1318,4810,6438,51438,335,127,128,71954
1,Bahoruco,2234,381,1304,1089,11265,97,22,23,16415
2,Barahona,6271,1049,4976,3802,43242,258,76,199,59873
3,Dajabón,2474,214,2393,2258,26460,114,129,55,34097
4,Distrito Nacional,449502,50151,228951,209711,782430,9408,12391,11964,1754508
5,Duarte,23183,2074,13341,12742,120411,491,1385,289,173916
6,El Seibo,2290,394,2210,2066,21508,126,105,42,28741
7,Elías Piña,1167,161,679,491,4787,39,29,5,7358
8,Espaillat,19932,1783,15944,12600,78427,544,268,249,129747
9,Hato Mayor,2447,453,2276,2148,23290,122,180,55,30971
10,Hermanas Mirabal,7927,813,6464,4864,46505,204,243,84,67104
11,Independencia,1032,220,693,597,3804,46,18,12,6422
12,La Altagracia,22186,5351,20659,13794,121963,947,562,535,185997
13,La Romana,18474,3317,13042,8333,125313,436,477,288,169680
14,La Vega,31231,2710,25277,20196,229630,1129,1467,534,312174
15,María Trinidad Sánchez,9823,814,5306,5487,68219,412,668,88,90817
16,Monseñor Nouel,10925,1440,8947,5786,82917,427,288,222,110952
17,Monte Cristi,5373,404,4714,4911,115797,205,731,152,132287
18,Monte Plata,4470,646,3069,2700,29909,144,87,45,41070
19,Pedernales,600,85,480,590,3730,43,12,19,5559
20,Peravia,9675,1689,8004,6529,66001,462,219,325,92904
21,Puerto Plata,21171,2959,22480,11927,93345,759,341,430,153412
22,Samaná,3840,862,4069,2444,35108,387,93,46,46849
23,San Cristóbal,34038,4259,22215,15792,176958,991,454,892,255599
24,San José de Ocoa,1630,205,1838,1683,14700,96,33,26,20211
25,San Juan de la Maguana,11899,1662,6786,5894,53556,425,507,93,80822
26,San Pedro de Macorís,16438,2485,11579,6788,102678,288,307,436,140999
27,Sánchez Ramírez,9488,833,5178,5136,42780,204,544,99,64262
28,Santiago,114419,8575,83960,49128,197437,2753,1975,1990,460237
29,Santiago Rodríguez,2175,300,2820,3136,14849,110,74,222,23686
30,Santo Domingo,257634,31985,135315,83754,412535,3216,3354,4233,932026
31,Valverde,10387,1042,8252,8253,79654,316,401,182,108487
32,Total,1121695,130634,678031,521067,3280646,25534,27567,23962,5809136
