,anio,automoviles,autobuses,jeep,carga,motocicletas,volteo,maquinas_pesadas,otros,total
1,1998,380382,36283,39535,183159,271753,8387,9246,7338,936083
2,1999,406723,38300,45374,197740,375023,9542,10124,8007,1090833
3,2000,444154,40570,57414,217770,504307,10653,11206,8924,1294998
4,2001,475174,42829,67182,231218,586844,11431,12180,9307,1436165
5,2002,506301,49185,80624,248565,691074,12606,12927,9741,1611023
6,2003,514574,51520,86928,255830,735565,12820,13166,9979,1680382
7,2004,528178,53331,98488,261477,768668,13012,13403,10199,1746756
8,2005,560880,56591,124802,276492,843941,13832,13633,10393,1900564
9,2006,575386,58809,144351,286640,866236,14535,14293,10761,1971011
10,2007,602291,62927,177871,304978,1047541,15831,14031,8837,2234307
11,2008,630115,67153,206314,320348,1164259,16816,15140,9417,2429562
12,2009,645258,69987,228187,331120,1252713,17260,15653,10042,2570220
13,2010,661747,73716,252881,344051,1352720,18272,18226,13127,2734740
14,2011,678732,76300,274810,355337,1481255,18650,18913,13576,2917573
15,2012,697180,78888,293901,363439,1566815,18941,19429,14093,3052686
16,2013,717087,81660,312170,372238,1678979,19165,19978,14496,3215773
17,2014,741583,84772,332788,381389,1803328,19400,20458,14944,3398662
18,2015,773019,88109,357028,392395,1946594,19593,20835,15391,3612964
19,2016,816470,92144,386706,405292,2096196,19974,21411,15845,3854038
20,2017,865186,96473,419442,418573,2238671,20293,22254,16446,4097338
21,2018,909420,101149,449918,431109,2398511,20746,23013,17018,4350884
22,2019,956994,107147,487157,446833,2573494,21213,23680,18358,4634876
23,2020,994301,111891,516912,458762,2695457,21690,24204,19150,4842367
24,2021,1045414,117803,569102,477365,2874590,22528,25294,20352,5152448
25,2022,1085675,123344,621291,497352,3063704,23920,26394,22316,5463996
26,2023,1121695,130634,678031,521067,3280646,25534,27567,23962,5809136
27,2024,1157870,139043,736171,548382,3531967,26980,28324,25315,6194052
