,anio,motocicletas,automóviles,jeeps,carga,autobuses,máquinas_pesadas,volteo,otros,total,participacion %
0,2000,1169434,543088,92874,251917,54500,14427,13367,15137,2154744,37.09233180287052
1,2001,20720,25718,28666,15217,3154,841,743,574,95633,1.646251697326418
2,2002,28184,21846,29682,15021,5057,802,881,553,102026,1.75630248629056
3,2003,25870,18384,19059,11685,4124,428,792,415,80757,1.390172307895701
4,2004,21717,10591,16790,7063,1906,393,103,339,58902,1.0139545708690587
5,2005,72314,17723,20082,13342,2542,753,706,437,127899,2.2016871355740335
6,2006,147679,20719,21216,16359,2842,877,597,477,210766,3.6281815402497033
7,2007,122028,23802,23944,18392,2834,879,1413,454,193746,3.3351947690672077
8,2008,94859,22946,23898,12203,2857,882,955,434,159034,2.7376532413770307
9,2009,44018,24024,11835,7372,1898,289,389,289,90114,1.5512461749905666
10,2010,66828,37933,18136,7360,2587,502,154,366,133866,2.304404648126675
11,2011,62546,37944,31716,10638,5098,443,167,399,148951,2.5640818187076357
12,2012,87234,44599,24019,9827,4566,348,110,442,171145,2.9461351911885
13,2013,70790,50907,30462,10450,5143,536,77,245,168610,2.9024970322609076
14,2014,109282,53722,36185,8865,5544,385,163,244,214390,3.69056603253909
15,2015,137942,47072,36727,11163,5979,490,182,365,239920,4.130046189312834
16,2016,124455,48149,44566,13254,5882,591,195,341,237433,4.087234315051326
17,2017,118016,37227,44347,11687,5333,760,366,317,218053,3.753621881119671
18,2018,109606,18565,28981,10539,3079,780,455,439,172444,2.9684965199644147
19,2019,166833,5418,21007,10810,1834,364,214,342,206822,3.560288483519752
20,2020,106395,3175,18767,10267,1273,315,433,242,140867,2.4249217095278883
21,2021,130571,2155,10513,4698,211,555,448,406,149557,2.574513662616954
22,2022,142847,2417,16357,12629,713,675,836,328,176802,3.043516281939345
23,2023,81533,2452,22180,15827,1219,252,1449,329,125241,2.155931622189599
24,2024,18945,1119,6022,4482,459,0,339,48,31414,0.5407688854246139
