,anio,fallecidos
0,1960,2288
1,1961,2462
2,1962,2703
3,1963,3021
4,1964,3385
5,1965,3690
6,1966,3995
7,1967,4473
8,1968,4810
9,1969,5101
10,1970,5101
11,1971,5373
12,1972,5666
13,1973,6193
14,1974,5978
15,1975,5768
16,1976,5832
17,1977,6006
18,1978,6967
19,1979,6505
20,1980,6037
21,1981,5915
22,1982,5749
23,1983,5829
24,1984,6034
25,1985,6042
26,1986,6045
27,1987,6342
28,1988,6831
29,1989,9344
30,1990,6378
31,1991,5940
32,1992,5619
33,1993,5258
34,1994,5220
35,1995,5418
36,1996,5483
37,1997,5540
38,1998,5240
39,1999,5399
40,2000,5776
41,2001,5517
42,2002,5347
43,2003,5399
44,2004,4741
45,2005,4442
46,2006,4104
47,2007,3823
48,2008,3100
49,2009,2714
50,2010,2478
51,2011,2060
52,2012,1903
53,2013,1680
54,2014,1688
55,2015,1689
56,2016,1810
57,2017,1830
58,2018,1806
59,2019,1755
60,2020,1370
61,2021,1533
62,2022,1746
63,2023,1145
64,2024,1154
