,provincia,femenino,masculino,total
0,Azua,11622,53345,64967
1,Bahoruco,3124,11835,14959
2,Barahona,10375,39892,50267
3,Dajabón,5928,16559,22487
4,Distrito Nacional,247292.25743992673,903760.4153440371,1151052
5,Duarte,32052,101064,133116
6,El Seibo,6853,18539,25392
7,Elías Piña,1450,5778,7228
8,Espaillat,24541,89690,114231
9,Hato Mayor,7728,19508,27236
10,Hermanas Mirabal,11207,41907,53114
11,Independencia,1497,4821,6318
12,La Altagracia,39347,102335,141682
13,La Romana,25090,80410,105500
14,La Vega,66987.84490550534,181280.26153994875,248268
15,María Trinidad Sánchez,19250,57790,77040
16,Monseñor Nouel,22904,63870,86774
17,Monte Cristi,10090,29083,39173
18,Monte Plata,12091,36794,48885
19,Pedernales,1238,4222,5460
20,Peravia,22037,58324,80361
21,Puerto Plata,31290,108818,140108
22,Samaná,11820,32374,44194
23,San Cristóbal,32701,145970,178671
24,San José de Ocoa,3546,15351,18897
25,San Juan de la Maguana,17853,58821,76674
26,San Pedro de Macorís,30242,82663,112905
27,Sánchez Ramírez,15215,44337,59552
28,Santiago,85930,302732,388662
29,Santiago Rodríguez,4760,17084,21844
30,Santo Domingo,169381,533212,702593
31,Valverde,15174,58872,74046
32,Total,1000616.102345432,3321040.6768839858,4321656
