,anio,poblacion
1,1960,3268336
2,1961,3373233
3,1962,3479936
4,1963,3588287
5,1964,3698559
6,1965,3808963
7,1966,3921847
8,1967,4038928
9,1968,4157189
10,1969,4277035
11,1970,4399290
12,1971,4524234
13,1972,4651883
14,1973,4782227
15,1974,4914197
16,1975,5046776
17,1976,5180404
18,1977,5315443
19,1978,5451882
20,1979,5589690
21,1980,5729037
22,1981,5868453
23,1982,6007114
24,1983,6147248
25,1984,6289040
26,1985,6430404
27,1986,6571208
28,1987,6712515
29,1988,6855734
30,1989,7002295
31,1990,7151166
32,1991,7299853
33,1992,7447474
34,1993,7594572
35,1994,7741694
36,1995,7888115
37,1996,8032894
38,1997,8174078
39,1998,8310362
40,1999,8446208
41,2000,8584190
42,2001,8720283
43,2002,8852235
44,2003,8980620
45,2004,9104892
46,2005,9225034
47,2006,9341183
48,2007,9455658
49,2008,9573130
50,2009,9695265
51,2010,9820175
52,2011,9945621
53,2012,10070411
54,2013,10193833
55,2014,10315528
56,2015,10434829
57,2016,10551430
58,2017,10666843
59,2018,10782053
60,2019,10894043
61,2020,11008300
62,2021,11123476
63,2022,11230734
64,2023,11331265
